,주가,거래량,OBV,기관_순매수누적,외국인_순매수누적,유로,달러,엔화,위안,소비자심리지수,자동차판매,예상종가
20170523_01,271000,410193,-3599994,-502612,2860477,1262.48,1123.5,1010.52,163.31,110.62,108.83,274500
20170523_02,277250,410193,-3599994,-502612,2860477,1262.48,1123.5,1010.52,163.31,110.62,108.83,274500
20170523_03,283500,410193,-3599994,-502612,2860477,1262.48,1123.5,1010.52,163.31,110.62,108.83,274500
20170524_01,274500,445449,-4045443,-495852,2854307,1257.25,1123,1004.34,163.26,110.7,108.77,280000
20170524_02,276250,445449,-4045443,-495852,2854307,1257.25,1123,1004.34,163.26,110.7,108.77,280000
20170524_03,278000,445449,-4045443,-495852,2854307,1257.25,1123,1004.34,163.26,110.7,108.77,280000
20170525_01,276500,245235,-3800208,-497100,2864605,1255.52,1120.5,1002.33,163.53,110.75,108.71,278000
20170525_02,279750,245235,-3800208,-497100,2864605,1255.52,1120.5,1002.33,163.53,110.75,108.71,278000
20170525_03,283000,245235,-3800208,-497100,2864605,1255.52,1120.5,1002.33,163.53,110.75,108.71,278000
20170526_01,280000,309017,-4109225,-499321,2865370,1251.15,1119,1006.75,164,110.79,108.65,283000
20170526_02,284750,309017,-4109225,-499321,2865370,1251.15,1119,1006.75,164,110.79,108.65,283000
20170526_03,289500,309017,-4109225,-499321,2865370,1251.15,1119,1006.75,164,110.79,108.65,283000
20170529_01,277500,215958,-4325183,-501502,2871314,1255.85,1122.5,1008.08,164.49,110.8,108.58,281500
20170529_02,280750,215958,-4325183,-501502,2871314,1255.85,1122.5,1008.08,164.49,110.8,108.58,281500
20170529_03,284000,215958,-4325183,-501502,2871314,1255.85,1122.5,1008.08,164.49,110.8,108.58,281500
20170530_01,278000,132024,-4457207,-502351,2877262,1257.19,1125,1013.92,164.83,110.81,108.49,281000
20170530_02,280500,132024,-4457207,-502351,2877262,1257.19,1125,1013.92,164.83,110.81,108.49,281000
20170530_03,283000,132024,-4457207,-502351,2877262,1257.19,1125,1013.92,164.83,110.81,108.49,281000
20170531_01,272000,377263,-4834470,-499502,2869281,1250.32,1118.5,1008.98,165.08,110.82,108.37,281000
20170531_02,274750,377263,-4834470,-499502,2869281,1250.32,1118.5,1008.98,165.08,110.82,108.37,281000
20170531_03,277500,377263,-4834470,-499502,2869281,1250.32,1118.5,1008.98,165.08,110.82,108.37,281000
20170601_01,273000,183593,-5018063,-501769,2870147,1258.15,1122,1007.86,166.19,110.83,108.22,274500
20170601_02,275750,183593,-5018063,-501769,2870147,1258.15,1122,1007.86,166.19,110.83,108.22,274500
20170601_03,278500,183593,-5018063,-501769,2870147,1258.15,1122,1007.86,166.19,110.83,108.22,274500
20170602_01,267500,239051,-5257114,-509877,2880932,1265.06,1123,1014.13,165.64,110.84,108.05,273000
20170602_02,270750,239051,-5257114,-509877,2880932,1265.06,1123,1014.13,165.64,110.84,108.05,273000
20170602_03,274000,239051,-5257114,-509877,2880932,1265.06,1123,1014.13,165.64,110.84,108.05,273000
20170605_01,272000,159102,-5098012,-518740,2894686,1259.05,1120,1012.25,165.06,110.84,107.85,270500
20170605_02,275250,159102,-5098012,-518740,2894686,1259.05,1120,1012.25,165.06,110.84,107.85,270500
20170605_03,278500,159102,-5098012,-518740,2894686,1259.05,1120,1012.25,165.06,110.84,107.85,270500
20170607_01,264000,425508,-5523520,-531359,2887151,1262.98,1124.5,1028.21,165.93,110.85,107.64,275500
20170607_02,267000,425508,-5523520,-531359,2887151,1262.98,1124.5,1028.21,165.93,110.85,107.64,275500
20170607_03,270000,425508,-5523520,-531359,2887151,1262.98,1124.5,1028.21,165.93,110.85,107.64,275500
20170608_01,261000,390301,-5913821,-559573,2917647,1260.62,1123,1020.96,165.64,110.86,107.42,265000
